okay and on .. on the weekends what do you do on a weekend?	تمام و ف .. في اجازات أخر الاسبوع بتعملي ايه يوم اجازة؟	okay و ف .. في ال weekends بتعملي ايه يوم اجازة؟
but, it is a must to have a coffee in the first 2 hours of my life and then continue my work, and later on after 4 or 5 hours i have coffee as well.	بس لازم القهوة تكون في أول ساعتين في حياتي وبعدين بكمل شغل عادي و بعديها باربع أو خمس ساعات في قهوة	بس لازم القهوة تكون في أول ساعتين في حياتي and then بكمل شغل عادي و بعديها باربع أو خمس ساعات في قهوة
so, we can say that coffee is from the main things at my work, because it helps me to continue working.	يعني القهوة هي اللي بتتمركز حوالين .. الشغل اهم حاجة فيه القهوة عشان اقدر أواصل يعنى	يعني القهوة هي اللي بتتمركز حوالين .. الشغل اهم حاجة فيه القهوة عشان اقدر أواصل يعنى
but, sometimes i don't take my breakfast. breakfast is not a part from my daily routine. from my routine, once i woke up, it is a must to listen to songs, and these songs affect me positively while working or not.	بس ساعات بفطر و ساعات لأ يعني جزء مش جزء من الروتين بتاعي أن أنا أفطر و مش جزء من الروتين بتاعي اي حاجة الا أن أنا لازم أول ما بصحى لازم أسمع أغاني و الأغاني بتفضل في ودني طول ما أنا شغال و طول ما أنا مش شغال	بس ساعات بفطر و ساعات لأ يعني جزء مش جزء من ال routine بتاعي أن أنا أفطر و مش جزء من ال routine بتاعي اي حاجة الا أن أنا لازم أول ما بصحى لازم أسمع أغاني و الأغاني بتفضل في ودني طول ما أنا شغال و طول ما أنا مش شغال
i always listen to songs,  .. songs help me to concentrate. listening to songs help me to concentrate faster and help me to feel relax.	الأغاني على طول موجودة يعني  عشان ب .. بتساعدني في التركيز, يعني أنا طول ما أنا بسمع أغاني بركز احسن و في نفس الوقت و أنا صاحى, بيبقى الأغاني حاجة هادية كده بتريح	الأغاني على طول موجودة يعني  عشان ب .. بتساعدني في التركيز, يعني أنا طول ما أنا بسمع أغاني بركز احسن و في نفس الوقت و أنا صاحى, بيبقى الأغاني حاجة هادية كده بتريح
that's my daily routine .. my routine depends mainly on coffee and music.	بس يعني ده ال .. الروتين بتاعى, ليه علاقة بالقهوة و الموسيقى غالبا يعني	بس يعني ده ال .. ال routine بتاعى, ليه علاقة بالقهوة و الموسيقى mainly يعني
i listen more to arabic songs because i like old arabic songs .. i listen to any singer, so, i can't tell you a specific one whom i listen to.	بسمع عربي أكتر, عشان بحب الأغاني القديمة ف .. بس مش حد .. بسمع كله, فمش عارف أقولك حد معين	بسمع عربي أكتر, عشان بحب الأغاني القديمة ف .. بس مش حد .. بسمع كله, فمش عارف أقولك حد معين
i can tell you a name, but, we can't say that this is the only singer whom i listen to his songs only and all the time, i like to hear many singers .. but mostly, i listen to arabic songs and oriental music. if i got a chance to attend an oriental musical concert, i wouldn't miss this chance and go immediately.	ممكن اقول بس مش هيبقى اللي هو مش بسمع طول النهار هذا الشخص, يعني بسمع ناس كتيرة بس .. بس أكتر الوقت عربي و موسيقى شرقي و يعني لو في أي فرصة أن أنا اسمع .. أروح حفلة فيها حاجات شرقى, بروح على طول يعنى.	ممكن اقول بس مش هيبقى اللي هو مش بسمع طول النهار هذا الشخص, يعني بسمع ناس كتيرة بس .. بس أكتر الوقت عربي و موسيقى شرقي و يعني لو في أي فرصة أن أنا اسمع .. أروح حفلة فيها حاجات شرقى, بروح على طول يعنى.
in the weekends, i return back to my family in alexandria, as i am .. i am not from cairo.	أنا إجازات أخر الأسبوع برجع لأهلي في أسكندرية, بما أني مش .. مش من القاهرة، فبرجع لأهلي أغلب الأسابيع	أنا weekends برجع لأهلي في أسكندرية, بما أني مش .. مش من القاهرة، فبرجع لأهلي أغلب الأسابيع
a whole day i spend with my friends, at one of our friend's home.	يوم ببقى مقضيه مع أصحابي من أوله لأخره، بنبقى قاعدين عند واحد صاحبي	يوم ببقى مقضيه مع أصحابي من أوله لأخره، بنبقى قاعدين عند واحد صاحبي
i spend all the day and return back home late at night.	بقعد طول اليوم مابرجعش الا بالليل متأخر	بقعد طول اليوم مابرجعش الا بالليل متأخر
i spend all the saturday with my family and mainly on every saturday there are football games, so on saturday i watch football games and spend the day with my family.	و يوم السبت كله بقعد مع أهلي و في الأساس غالبا كل يوم سبت بيبقى في ماتشات فبتفرج على ماتشات و بقعد مع أهلي بس.	و يوم السبت كله بقعد مع أهلي و mainly غالبا كل يوم سبت بيبقى في ماتشات فبتفرج على ماتشات و بقعد مع أهلي بس.
yes, it is included in my day, but, it is not everyday, at least i read a book in a month, and most of the books i read are novels whether arabic or english, there is nothing specific. also, as i like writing, so, reading is very important for me.	أه موجود في يومي برضه بس مش لازم كل يوم بس على الأقل يعني غالبا على الأقل كتاب في الشهر و أغلب الكتب بتبقى روايات سواء عربي أو إنجليزي يعني مش .. مش حاجة محددة يعني بما اني كمان بكتب ف .. القراية حاجة مهمة بالنسبالي يعني طول عمرها.	أه موجود في يومي برضه بس مش لازم كل يوم بس at least يعني غالبا على الأقل كتاب في الشهر و أغلب الكتب بتبقى روايات سواء عربي أو english يعني مش .. مش حاجة محددة يعني بما اني كمان بكتب ف .. القراية حاجة مهمة بالنسبالي يعني طول عمرها.
no, i don't read books to .. i mean, for me books help me to increase experiences more than taking a specific quote. what attracts me is the story itself, not a certain quote, actually i don't concentrate on quotes while reading a book.	لأ انا مش بقرا الكتب علشان .. يعني بالنسبالي الكتب تجارب أكتر من أن انا أخد مقولة معينة هي اللي أمسك فيها هي بتبقى القصة نفسها اللي بتشدني و اللي ببقى ممكن أحكيلك قصص من الكتب اللي قرتها لكن مقولة معينة مابركزش أوى	لأ انا مش بقرا الكتب علشان .. يعني بالنسبالي الكتب experiences أكتر من أن انا أخد quote معينة هي اللي أمسك فيها هي بتبقى القصة نفسها اللي بتشدني و اللي ببقى ممكن أحكيلك قصص من الكتب اللي قرتها لكن quote معينة مابركزش أوى
we can say that writing may help me to improve my way in writing, but, this doesn't mean borrow (quotation) any specific part from a book i read before.	ممكن يكون الكتابة بتحسن أسلوبي لكن مش أقتباس أن أنا أخد حاجة محددة من حاجة قرتها يعنى.	ممكن يكون الكتابة بتحسن أسلوبي لكن مش أقتباس أن أنا أخد حاجة محددة من حاجة قرتها يعنى.
okay. there is a book i have read from few months ago, it is not the last book i read, but it is .. it is from the books that influenced me, it is a book for tawfik el hakem called "people of the cave".	تمام  في كتاب لسه قريه قريب من كام شهر, مش أخر كتاب بس هو من ..من الكتب يعني المؤثرة يعني في كتاب بتاع توفيق الحكيم أسمه أهل الكهف	okay  في كتاب لسه قريه قريب من كام شهر, مش أخر كتاب بس هو من ..من الكتب يعني المؤثرة يعني في كتاب بتاع توفيق الحكيم أسمه أهل الكهف
it is talking about the story of the "people of the cave" which is almost mentioned in all religions, but, the idea that he wrote it by a different way.	هو بيحكي قصة أهل الكهف اللي موجودة تقريبا في كل الأديان ز كل الحاجات بس الفكرة أنه بيحكيها بشكل مختلف	هو بيحكي قصة أهل الكهف اللي موجودة تقريبا في كل الأديان ز كل الحاجات بس الفكرة أنه بيحكيها بشكل مختلف
he imagined the characters of the story as if they are real persons we know or they are existing in this era. he started to imagine if those persons woke up and started to see things related to the real world they were already exist in from hundreds or thousands years ago .. i can't remember the number of years .. but the idea is how those persons are going to interact in the 2 eras.	و هو تخيل الشخصيات الموجودة فيه كشخصيات حقيقية أحنا عارفينها أو موجودة في العصر ده فعلا و بدأ يتصور لو الأشخاص دول صحيوا و بدأوا يشوفوا حاجات ليها علاقة بالواقع اللي هما كانوا فيه من ألأف السنين أو مئات السنين, مش فاكر بالظبط ال .. عدد السنين يعني بس الفكرة ان .. و أزاي الناس بيتعاملوا في العصرين	و هو تخيل الشخصيات الموجودة فيه كشخصيات حقيقية أحنا عارفينها أو موجودة في العصر ده فعلا و بدأ يتصور لو الأشخاص دول صحيوا و بدأوا يشوفوا حاجات ليها علاقة بالواقع اللي هما كانوا فيه من ألأف السنين أو مئات السنين, مش فاكر بالظبط ال .. عدد السنين يعني بس الفكرة ان .. و أزاي الناس بي interact#وا في العصرين
because those persons are going to interact and according to the values they knew, they found everything changed and the society itself changed .. although this new society is the one they hoped to live in, but they found themselves can't adapt and there is a struggle inside them between this is the society they wished to live in before and their disability to adapt this new situation, although they woke up young aged .. without any change.	لإن الناس دول بيحاولوا يتفاعلوا وعلى حسب اللي هم عارفينه و القيم  بتاعتهم و الحاجات المعتقدات اللي في دماغهم مع مجتمع أتغير خالص و بقى ش .. على الرغم أن هم المجتمع الجديد ده هو المجتمع اللي كان نفسهم فيه بس هم مش عارفين يتأقلموا و لا يتكيفوا و أزاي بقى الصراع الإنساني جواهم بين ان هم اللي موجود هم اللي عايزينه و أن هم مش قادرين يتأقلموا مع أن هم صحيوا شباب زي ال .. زي العادي خالص.	لإن الناس دول بيحاولوا interact#وا according to اللي هم عارفينه و ال values بتاعتهم و الحاجات المعتقدات اللي في دماغهم مع مجتمع أتغير خالص و بقى ش .. although أن هم المجتمع الجديد ده هو المجتمع اللي كان نفسهم فيه بس هم مش عارفين يتأقلموا و لا ي adapt#وا و أزاي بقى الصراع الإنساني جواهم بين ان هم اللي موجود هم اللي عايزينه و أن هم مش قادرين يتأقلموا مع أن هم صحيوا شباب زي ال .. زي العادي خالص.
there is a movie called the perks of being a wallflower.	في فيلم أسمه مزايا أن تكون خجولا	في فيلم أسمه the perks of being a wallflower
the movie is good, because it is talking about unsocial (introvert) person who is suffering from some psychological problems.	الفيلم حلو عشان هو بيحكي قصة شخص أنطوائي عنده بعض المشاكل النفسية	الفيلم حلو عشان هو بيحكي قصة شخص أنطوائي عنده بعض المشاكل النفسية
but, the main idea, i don't care to watch movies talking about unsocial persons.	بس الفكرة كلها ان انا مش من العادة أن أنا بشوف قصص عن الناس الأنطوائية	بس الفكرة كلها ان انا مش من العادة أن أنا بشوف قصص عن الناس الأنطوائية
mostly because .. they mainly focus on stories talking about social problems more than stories talking about introvert (unsocial) persons.	غالبا ان .. بيجيبوا ناس اكتر مشاكل الناس الأجتماعية زيادة عن اللزوم ماحدش بيجيب قصص اوي الناس الأنطوائية	غالبا ان .. بيجيبوا ناس اكتر مشاكل الناس الأجتماعية زيادة عن اللزوم ماحدش بيجيب قصص اوي الناس الأنطوائية
the character in the movie was suffering from a big problem during his high school, and the film showed us how this person started to deal with the situation .. the story itself contains many details.	و قد أيه كان عنده مشكلة في الثانوية و أزاي بقى بيتعامل مع ناس و كده و .. القصة فيها تفاصيل كتيرة	و قد أيه كان عنده مشكلة في ال high school و أزاي بقى بيتعامل مع ناس و كده و .. القصة فيها تفاصيل كتيرة
but, it was a good movie, and its story is written in a book, and i read this book after watched the movie.	بس الفيلم كان حلو لإنه حتى في الكتاب هو معمول عن الكتاب و الكتاب كان حلو أوي قريته بعد ما شوفت الفيلم يعنى.	بس الفيلم كان حلو لإنه حتى في الكتاب هو معمول عن الكتاب و الكتاب كان حلو أوي قريته بعد ما شوفت الفيلم يعنى.
musician.	موسيقار	musician
i like music.	يعني أنا ليا في الموسيقى	يعني أنا ليا في الموسيقى
i play music a little, but the idea is i like composing and .. and singing as well, but i am not sure if singing likes me as well or not, but at least .. the other things, yes.	بعزف بسيط بس هي الفكرة كلها أن أنا مهتم جدا بالتلحين و ال .. و الغنا كمان, بس يعني مش عارف مش متأكد هل الغنا بيحبني زي ما أنا بحبه و لا لأ بس على الأقل ال .. الحاجات التانية أه	بعزف بسيط بس هي الفكرة كلها أن أنا مهتم جدا بالتلحين و ال .. و الغنا كمان, بس يعني مش عارف مش متأكد هل الغنا بيحبني زي ما أنا بحبه و لا لأ بس at least ال .. الحاجات التانية أه
so, .. yes, but the problem is, this needs effort and a very long time, and unfortunately we can't take all the things together.	ف .. اه بس هي المشكلة أن ده محتاج مجهود و وقت كبير أوي و للأسف ماينفعش ناخد الحاجات مع بعضيها	ف .. اه بس هي المشكلة أن ده محتاج effort و وقت كبير أوي و للأسف ماينفعش ناخد الحاجات مع بعضيها
okay. once before i did internship at .. at petroleum company  in a desert in hurghada at the mountains and it was something a little bit weird because it was something like a camp.	تمام ,أنا مرة عملت تدريب في .. في شركة بترول  في صحراء في الغردقة في الجبال و ده كان شىء غريب شوية لإن هو كان شبه معسكر	okay ,أنا مرة عملت internship في .. في شركة بترول  في صحراء في الغردقة في الجبال و ده كان شىء غريب شوية لإن هو كان شبه camp
people there live like that, they live for 2 to 3 weeks and then, 2 to 3 weeks at their place as a vacation.	هو الناس هناك عايشين كده, أن هم بيعيشوا لمدة أسبوعين تلاته هناك وبعدين أسبوعين تلاتة في مكانهم عادي كأجازة	هو الناس هناك عايشين كده, أن هم بيعيشوا لمدة أسبوعين تلاته هناك and then أسبوعين تلاتة في مكانهم عادي كأجازة
it was an experience, it was .. i was living alone by myself, and actually that doesn't matter with me, to accept the idea that i am living alone in a place away from any other people. you are living in a very little place, and that's .. that's all you know about the place you are working in, and it was a little bit weird.	تجربة كانت ان أنا .. هو انا عايش لوحدي أصلا فانا مش فارق معايا فكرة أن أنا عايش لوحدي بس فكرة أنك منعزلة عن العالم الخارجى, أنتي عايشة جوة مكان قد كده, هو ده كل اللي .. كل اللي تعرفيه عن العالم هو عبارة عن المكان اللي أنتي شغالة فيه ده كان شىء غريب شوية	experience كانت ان أنا .. هو انا عايش لوحدي أصلا فانا مش فارق معايا فكرة أن أنا عايش لوحدي بس فكرة أنك منعزلة عن العالم الخارجى, أنتي عايشة جوة مكان قد كده, هو ده كل اللي .. كل اللي تعرفيه عن العالم هو عبارة عن المكان اللي أنتي شغالة فيه ده كان شىء غريب شوية
it is not a must to learn something new, i might learn skills like technical work, i don't know how to rate my experience, but all i am sure about is i am not going to live this life, so, i took the decision to not work by this .. by this way or routine, i.e. a place of work and at the same time the place to take a vacation.	مش شرط أكون أتعلمت حاجة, ممكن أكون أتعلمت مهارات كشغل تقني يعني بس مش عارف أتعلمت حاجة قد أيه بس أنا أتأكدت أن أنا عمري ما هابقى عايز حياتي تبقى بهذا الشكل فقررت أن أنا عمري ما هشتغل بهذا ال .. النمط يعني اللي هو مكان شوية شغل و شوية أجازة ده.	مش شرط أكون أتعلمت حاجة, ممكن أكون أتعلمت skills كشغل technical يعني بس مش عارف أتعلمت حاجة قد أيه بس أنا أتأكدت أن أنا عمري ما هابقى عايز حياتي تبقى بهذا الشكل فقررت أن أنا عمري ما هشتغل بهذا ال .. النمط يعني اللي هو مكان شوية شغل و شوية أجازة ده.
maybe it is my life when i was a student, because i didn't feel with the pressure of studying and projects.	يمكن الحياة و أنا طالب أظن, لإن أنا ماكنتش بحس بالضغط بتاع المذاكرة و المشاريع و الحاجات دى	يمكن الحياة و أنا طالب أظن, لإن أنا ماكنتش بحس بال pressure بتاع المذاكرة و ال projects و الحاجات دى
pressure is not affecting me a lot.	الضغط مش بيأثر عليا شوية	الضغط مش بيأثر عليا شوية
so .. before, i didn't have responsibilities verses nowadays, i am responsible on myself, although i am living alone by myself, but, before, the responsibilities were not too much like today.	ف .. كان أياميها مافيش مسئوليات على قد ما أنا دلوقت مسئول أكتر عن نفسي يعني اه أنا كده كده عايش لوحدي ماعنديش مسئوليات اوي بس برضه المسئوليات أقل	ف .. كان أياميها مافيش مسئوليات على قد ما أنا دلوقت مسئول أكتر عن نفسي يعني اه أنا كده كده عايش لوحدي ماعنديش مسئوليات اوي بس برضه المسئوليات أقل
before, i was having the idea that for example: i am not able to do x now, i can do it later, but, now the situation is different, i can't do this and delay doing something, because actually i have many things must be done.	فكرة أن مثلا أنا مش مضطر لو مش عايز أعمل حاجة مش هعملها دلوقت لأ في مسئولية انا مضطر أعمل لإن في حاجات ورايا	فكرة أن مثلا أنا مش مضطر لو مش عايز أعمل حاجة مش هعملها دلوقت لأ في مسئولية انا مضطر أعمل لإن في حاجات ورايا
i mean i have to prepare the tutorial .. before, if i didn't study, then, it would affect me by not getting high grades, but nowadays, i have to prepare it because my conscience will not allow me to teach a tutorial without being well prepared, or  to wake up or whatever .	يعني أنا مضطر أحضر الدرس مش لازم .. لو أنا مش بذاكر ده بمزاجي مش هجيب درجات لكن أنا مضطر أحضر علشان ضميري مش هيسمحلي أن انا اخش الدرس و أنا مش محضر  أو أن أنا أصحى أو أياً كان	يعني أنا مضطر أحضر ال tutorial مش لازم .. لو أنا مش بذاكر ده بمزاجي مش هجيب grades لكن أنا مضطر أحضر علشان ضميري مش هيسمحلي أن انا اخش ال tutorial و أنا مش محضر  أو أن أنا أصحى أو whatever
so, anyway, there is a pressure on me regarding things i have to do and rules i have to satisfy, although while i was a student, there were rules, but, it was not a must.	يعني كده كده في ضغط لازم حاجة لازم تعملها, في قواعد لازم انفذ القواعد دي على الرغم أن و أنا طالب في قواعد برضه بس مش لازم	يعني كده كده في pressure لازم حاجة لازم تعملها, في rules لازم ا satisfy ال rules دي although أن و أنا student في rules برضه بس مش لازم
so, i think the .. the student life was less pressure although i can't say that i am feeling upset now.	ف أعتقد ان ال .. حياة الطلبة كانت الضغط أقل لكن انا مش هقول دلوقت أن أنا مضايق يعني	ف i think ان ال .. ال student life كانت less pressure although انا مش هقول دلوقت أن أنا مضايق يعني
i am not feeling upset, and at the same time the point of having pressure doesn't make a difference with me .. but i think it was more comfortable for me.	مش مضايق عادي بس انا مش بيفرق معايا أوي الضغط برضه بس .. بس أظن أن هي كانت أريح يعنى.	مش مضايق عادي بس انا مش بيفرق معايا أوي ال pressure برضه بس .. بس أظن أن هي كانت أريح يعنى.
yes, i traveled for 6 months to do my master project.	أه سافرت ست شهور كمان علشان أعمل مشروع الماجستير.	أه سافرت ست شهور كمان علشان أعمل ال master project.
no, tell me the next question.	لأ قول السؤال ثاني.	لأ قول السؤال ثاني.
okay. the point is in the experience of traveling, the point that i am living alone by myself doesn't matter for me, but at least i learned how to cook by myself.	تمام تجربة السفر يعني فكرة ان أنا عايش لوحدي ماكنتش فارقه أوى, بس الفرق أن أنا هناك أتعلمت ان انا على الأقل أطبخ	okay experience السفر يعني فكرة ان أنا عايش لوحدي ماكنتش فارقه أوى, بس الفرق أن أنا هناك أتعلمت ان انا at least أطبخ
i wasn't cooking here.	ماكنتش بطبخ هنا	ماكنتش بطبخ هنا
although i am living alone by myself, but, i .. making order for any food.	مع أني عايش لوحدي بس كنت ب .. بطلب أكل عادى	مع أني عايش لوحدي بس كنت ب .. ب order أكل عادى
there, i learned how to cook just because there was a little free time than here.	هناك أتعلمت أطبخ لمجرد أن في وقت أزيد شوية من هنا	هناك أتعلمت أطبخ لمجرد أن في وقت أزيد شوية من هنا
so, .. this was one of the experiences.	ف .. ده حاجة من التجارب	ف .. ده حاجة من ال experiences
there is something else, but it is something personal, the point is how to adapt myself alone in a place without knowing many people.	أتعلمت حاجات تانية شخصية بقى, فكرة ان انا ازاي أتاقلم لوحدي لأني في مكان ماعرفش فيه ناس كتير	أتعلمت حاجات تانية personal بقى, فكرة ان انا ازاي أتاقلم لوحدي لأني في مكان ماعرفش فيه ناس كتير
how, for example .. the point you know people who are close to you plus while traveling the situation differs, people differ when they traveled and go anywhere else.	ازاي مثلا .. ازاي ان ان ممكن تكون عارف ناس قريبة منك زائد بس في السفر الموضوع مختلف شوية، الناس بتتغير شوية في السفر	ازاي مثلا .. ازاي ان ان ممكن تكون عارف ناس قريبة منك plus بس في السفر الموضوع مختلف شوية، الناس بتتغير شوية في السفر
and this experience is not only in masters, but also in bachelor and the master.	و التجربة دي مش بس في الماجستير يعني في مشروع التخرج او الماجستير	و ال experience دي مش بس في ال masters يعني في ال bachelor او ال master
i think it is the same idea, we are not very far.	أعتقد أنه هو نفس الفكرة يعني مش مش أحنا مش بعاد أوى	i think أنه هو نفس الفكرة يعني مش مش أحنا مش بعاد أوى
the people are very different, i mean you may find someone does something different than what he is doing here, and the oppposite, so, i have seen all the types of people.	يعني الناس متغيرة جدا, ممكن تلاقي حد هناك بيعمل حاجة عكس اللي بيعمله هنا و العكس ممكن يكون مش شرط هناك احسن أو هنا أحسن يعني أنا شوفت العكس و ده و ده و ده و ده	يعني الناس متغيرة جدا, ممكن تلاقي حد هناك بيعمل حاجة عكس اللي بيعمله هنا و العكس ممكن يكون مش شرط هناك احسن أو هنا أحسن يعني أنا شوفت العكس و ده و ده و ده و ده
so .. that was my personal experience, i learned many things in my life, for example not to expect a lot of expectation, because i found people may change after being far away and traveled. i understood that .. whatever happens is according to the circumstances.	ف .. ده كان خبرة شخصية خدت بعدها يعني أشياء كتيرة في تعاملي مع الناس أن مثلا ممكن تبقى متوقعة من الناس التوقع قلت بعد كده من بني ادمين أصلا لإن مجرد أن السفر بيغير, ففهمت أن .. ان اللي بيحصل على حسب الظروف.	ف .. ده كان experience personal خدت بعدها يعني أشياء كتيرة في تعاملي مع الناس أن مثلا ممكن تبقى expect من الناس ال expectation قلت بعد كده من بني ادمين أصلا لإن مجرد أن السفر بيغير, ففهمت أن .. ان اللي بيحصل according to الظروف.
actually there are many places i liked there. there is a place in switzerland called rhine falls, it is a water falls of a river called rhine, and for me it is a very good place.	هو أماكن كتير الصراحة عجبتني بس في مكان في سويسرا أسمه شلالات الراين دي شلالات مية كده بتاعة نهر الراين هو بالنسبالي هي مكان حلو أوي يعنى	هو أماكن كتير الصراحة عجبتني بس في مكان في سويسرا أسمه rhine falls ده water falls كده بتاعة نهر ال rhine هو بالنسبالي هي مكان حلو أوي يعنى
i was going .. i was going there a lot.	انا كنت بروح .. بروحها كتير	انا كنت بروح .. بروحها كتير
it is not very near to me, but .. in many times i decided to take a day off just only to go there and enjoy the natural views there, to get relaxed.	هي مش قريبة أوي بس كنت ب .. ب .. ممكن كنت أخد أجازة مخصوص علشان أروح لمجرد أني أقعد هناك و أتفرج على بعض المناظر الطبيعية الهادية كده، الموضوع هناك، الطبيعة حلوة جدا يعنى.	هي مش قريبة أوي بس كنت ب .. ب .. ممكن كنت أخد أجازة مخصوص علشان أروح لمجرد أني أقعد هناك و أتفرج على بعض المناظر الطبيعية الهادية كده، الموضوع هناك، الطبيعة حلوة جدا يعنى.
yes, if i got the chance.	اه لو جالي	اه لو جالي
i already have offers.	عندي عروض أصلا	عندي offers already
i think, i will travel just i .. am convinced with the experience found there, it is good.	او أعتقد أن أنا اه هسافر لمجرد أني مقتنع أن ال .. الخبرة برة أحسن يعنى	او i think أن أنا اه هسافر لمجرد أني مقتنع أن ال .. ال experience برة أحسن يعنى
it is not the idea of just traveling, but it is the point that anything i need is better there.	مش مش السفر على قد ما فكرة أن اللي أنا عايزه موجود برة أحسن	مش مش السفر على قد ما فكرة أن اللي أنا عايزه موجود برة أحسن
so, it will be faster, the idea is .. not easier but faster and more efficient.	فهيبقي الموضوع أسرع مش فكرة .. مش فكرة اسهل على قد ما هو اسرع و أكتر كفاءة.	فهيبقي الموضوع أسرع مش فكرة .. مش فكرة اسهل على قد ما هو اسرع و more efficient.
the biggest turning point in my life is when i took the decision to leave my family in alexandria, and came here to cairo and live by myself to study in the university, so, i think this is a big decision i took, and all my life changed after this decision and even all my relations with all my friends changed, i.e. all my life changed.	أكبر نقطة تحول أني قررت ان انا أجي القاهرة بعد مانا طول عمري عايش في الاسكندرية و أن أنا أسيب أهلي و أصحابي و كل حاجة عشان خاطر أجي أدرس في جامعة أعتقد أن ده قرار كبير و عموما حياتي أتغيرت بعد القرار ده يعني و كل العلاقات بتاعتي أتغيرت و شكل حياتي أتغير خالص بعد ده.	أكبر turning point أني قررت ان انا أجي القاهرة بعد مانا طول عمري عايش في الاسكندرية و أن أنا أسيب أهلي و أصحابي و كل حاجة عشان خاطر أجي أدرس في جامعة i think أن ده قرار كبير و عموما حياتي أتغيرت بعد القرار ده يعني و كل العلاقات بتاعتي أتغيرت و شكل حياتي أتغير خالص بعد ده.
it made me independent person, until i reached a point where i can't be dependent anymore.	خلاني مستقل تماما لدرجة أني مش بعرف ابقى معتمد على حد خالص، عكس ما كنت	خلاني independent تماما لدرجة أني مش بعرف ابقى dependent خالص، عكس ما كنت
and i can't live with people, i get used to live alone by myself, so, it is not the easiest thing for me.	و مش بعرف اعيش مع ناس بشكل سهل, متعود على العيشة لوحدي فالموضوع مش أسهل حاجة	و مش بعرف اعيش مع ناس بشكل سهل, متعود على العيشة لوحدي فالموضوع مش أسهل حاجة
i think there are other things i liked as well, and i didn't know before that i like it i had free time so, i decided to try these new things and finally i discovered that i liked them.	و أعتقد في حاجات تانية كمان ان انا في حاجات ماكنتش عارف أن أنا بحبها أكتشفت أن أنا بحبها لمجرد أن بقى عندي وقت فاضي فجربتها فأقتنعت أني بحبها	و i think في حاجات تانية كمان ان انا في حاجات ماكنتش عارف أن أنا بحبها أكتشفت أن أنا بحبها لمجرد أن بقى عندي وقت فاضي فجربتها فأقتنعت أني بحبها
all my life time was with my family, so, the point to try something new was difficult to be done, but, now i am feeling free, i can go anywhere and return at anytime, and i don't have to do something on certain time.	لكن لو ما طول عمري كنت مع أهلي و كده فبيبقى فكرة التجربة أقل شوية عشان دايما بيبقى في بيت بترجعي و كده لكن دلوقت أنا حر نفسي بروح أي وقت في أي مكان ف .. مافيش فكرة أن أنا لازم ارجع البيت، لازم اعمل حاجة في وقت معين.	لكن لو ما طول عمري كنت مع أهلي و كده فبيبقى فكرة التجربة أقل شوية عشان دايما بيبقى في بيت بترجعي و كده لكن دلوقت أنا حر نفسي بروح أي وقت في أي مكان ف .. مافيش فكرة أن أنا لازم ارجع البيت، لازم اعمل حاجة في وقت معين.
i liked to work in teams, even if the teams are not going to work or do anything. for me it is important to work in group because get bored if i worked alone.	كنت بحب اشتغل في فريق حتى لو الفرق مش هيعملوا حاجة بس انا كان بالنسبالي مهم ان انا أشتغل في مجموعة عشان أنا بزهق من الشغل لوحدي عموما	كنت بحب اشتغل in teams حتى لو ال teams مش هيعملوا حاجة بس انا كان بالنسبالي مهم ان انا أشتغل in group عشان أنا بزهق من الشغل لوحدي عموما
but, i'm usually keen to know everything, and the role of everyone .. because of the details .. because the point is, as we are working in a group, so we have to collect all the work together, so, everyone must be updated .. updated to be able to complete the work and merge all things together with each other.	بس ببقى دايما مهتم بفكرة ان انا أبقى عارف مين بيعمل أيه عشان .. عشان التفاصيل .. يعني فكرة لما نوصل في الآخر أن أحنا في مجموعة احنا هنجمع الشغل مع بعض فلازم نبقى .. يبقى كل واحد عارف التاني يبلغ .. يبلغ التاني بيعمل أيه عشان نقدر بسهولة نكمل الشغل ندمج الحاجة سوا	بس ببقى دايما مهتم بفكرة ان انا أبقى عارف مين بيعمل أيه عشان .. عشان التفاصيل .. يعني فكرة لما نوصل في الآخر أن أحنا في group احنا هنجمع الشغل مع بعض فلازم نبقى .. يبقى كل واحد عارف التاني updated .. updated التاني بيعمل أيه عشان نقدر بسهولة نكمل الشغل ن merge الحاجة سوا
so, i like to work in teams however .. however i don't get upset if i am going to work alone, but i prefer to work in teams.	فكنت بحب الفرق بس .. بس مابضايقش أن أنا أشتغل لوحدي يعني انا مابضايقش أن أنا أشتغل لوحدي بس بفضل الفرق يعنى.	فكنت بحب ال teams بس .. بس مابضايقش أن أنا أشتغل لوحدي يعني انا مابضايقش أن أنا أشتغل لوحدي بس بفضل ال teams يعنى.
unfortunately, no.	للأسف لأ	للأسف لأ
i feel that everyone of us has good things and bad things, so, if i found someone does something good, so, i would try to do like this person, and if he did something wrong, so, i will not neglect it and not follow him doing this.	يعني بحس أن كل الناس عندهم حاجات حلوة و حاجات وحشة فلما بشوف حد حاجة حلوة في حد بحاول أن أنا أخدها و أهيئها لنفسي ان انا اعملها و العكس لو حاجة وحشة خلاص مش هعملها, أحاول معملهاش مش شرط	يعني بحس أن كل الناس عندهم حاجات حلوة و حاجات وحشة فلما بشوف حد حاجة حلوة في حد بحاول أن أنا أخدها و أهيئها لنفسي ان انا اعملها و العكس لو حاجة وحشة خلاص مش هعملها, أحاول معملهاش مش شرط
