Batman vs Superman	batman banaam superman	batman vs superman
It truly was heartbreaking when Mia moved back home to Nevada	yeh sachmuch hridayavidaarak thaa jaba miya apane ghar nevada vaapas chully gaee	sach mein bahut  heartbreaking tha jub Mia wapis apne ghar Nevada chale jaati hai
i feel he didn't want to hear the truth, because he was really giving up on his dreams	mujhe lagata haye kii vaha sach naheen sunana chaahata thaa, kyonki vaha vaastav mein apane sapnon koo tyag rhaa thaa	Mujhe lagta hai wo sach nahi sunna chahta kyunki wo apne sapno ko chod raha hai.
it really was sad	yeh sachmuch dukhad thaa	Wo sach mein sad tha.
I agree. It was also a very unpredictable plot twist. I did not see it coming at all	main sahmat huun. yeh bhee ack behad apratyaashit kathaanak modd thaa. maine ise bilkul bhee aatey naheen dekhaa	Main bhi maanta hun ki unpredictable twist tha kahani mein jiska bilkul andaza nahi tha.
would you say that was the low point in the movie?	kyaa aap kahenge kii yeh film kaa nimn bindu thaa?	Kya tum maante ho ki wo kahani ka low point tha ?
Yes but I wouldn't say any part of the movie "sagged badly" as one review claims	haan, lekin main yeh naheen kahoonga kii film kaa koee bhee hissa "buri tarah seey dheela" hoe gayaa haye, jaisa kii ack sameeksha mein daavaa kiya gayaa haye	Haan but mujhe nahi lagta ki movie ka koi bhi part sagged badly tha jaisa ki ek review ne claim kiya tha.
i agree - overall, i would recommend the movie to a friend	main sahmat huun - kull milakar, main ack dost koo film kii sifarish karunga	Main bhi maanta hun and main apne friend ko movie zaroor recommend karunga.
I agree. As another review points out it was a "genuinely romantic comedy", which I completely agree with because I feel as though Sebastian and Mia's relationship was not as cliche as many love stories are in movies. I appreciated the realness of their relationship	main sahmat huun. jaisa kii ack anya sameeksha bataati haye kii yeh ack "vaastav mein romantic comedy" thee, jisase main poori tarah sahmat huun kyonki mujhe lagata haye kii sebastian aur miya kaa rishta utana ghisa-pitaa naheen thaa jitna kii kaee prem kahaaniyan filmon mein hoti hain. maine unake rishte kii vaastaviktaa kii sarahana kii	Main maanta hun ki movie genuinely romantic comedy thi jaise ki ek aur reviewer ne point out kiya kyunki mujhe lagta hai jaise Sebastian aur Mia ka relationship itna cliche nahi tha jitna dusri love stories mein hota hai. Mujhe unki relationship ki sachai achi lagi.
yes, that was one thing i loved about the movie - while it was sad, it was not a cliche ending	haan, yeh ack baat thee joe mujhe film key baare mein pasand aaee - halanki yeh dukhad thee, lekin iska anta ghisa-pitaa naheen thaa	Haan, Movie ki wo ek cheez achi thi chahe wo sad thi par wo ek cliche ending nahi thi.
I agree. I think Damien Chazelle really did a good job directing the film.	main sahmat huun. mujhe lagata haye kii damien chazelle ney film kaa nirdeshan karate hue vaastav mein achchha kaam kiya haye.	Main bhi agree karta hun ki Damien Chazelle ne film directing ka bahut acha kaam kiya hai.
i'm curious, are you an ai	main utsuk huun, kyaa aap aii hain?	Mujhe utsukta ho rahi, kya aap ai hain ?
if so, i was completely fooled	yadi haan, tou main poori tarah seey moorkh thaa	agar aisa hai to i was fooled
I am not!	main naheen huun!	main nahi hoon
But I really was surprised that someone reviewed Sebastian as a "jazz snob" because I did not get that vibe at all	lekin main vaastav mein aashcharyachakit thaa kii kissy ney sebastian kii sameeksha "jaiz snobe" key roop mein kii kyonki mujhe vaha bhavna bilkul bhee naheen millie	lekin main bohat surprised tha ki kisine Sebastaian ko 'jazz snob' review kia kyunki mujhe aisi vibe nahi aati
yeah, i disagreed with that characterization, but i can see why someone might say that.	haan, main usa charitra-chitran seey asahmat huun, lekin main samajh sakata huun kii koee aisaa kyon kaha sakata haye.	han mujhe bhi disagree hua is characterization se, lekin main samajh sakta hun kisine aisa kyun kaha hoga
he is a purist, or whatever they called it in the film	vaha ack shuddhatavadi haye, yaa joe kuchh bhee unhone ise film mein kahaa haye	wo ek purist hai, ya fir jo be usey movie mein bulaya gaya
I also really didn't think Mia's character lacked depth. I think she was a rather round character, especially with the large amount of independence she possessed. It took a lot of courage for her to move back to Nevada	mujhe vaastav mein yeh bhee naheen lagaa kii miya key charitra mein gehrai kii kamee haye. mujhe lagata haye kii vaha ack goal charitra vaali mahila thee, khaskar badee matra mein swatantrata key kaaran. nevada vaapas jaane key liye usey bahut saahas karna padaa	mujhe ye bhi nahi lagta ki Mia ke character mein depth ki kami thi. Mujhe lagta hau uska characted kafi round tha, khaaskar jis large amount mein uske paas independence thi. Use Nevada waapis move karne mein kafi courage laga.
yes, i thought her character was pretty nuanced, but i'm not sure it being courageous of her to move back to Nevada. After the play didn't go well, I think that was her only option	haan, mujhe lagaa kii uska charitra kaafee sookshm thaa, lekin mujhe yakeen naheen haye kii nevada vaapas jaanaa usake liye sahsi hoga. naatak achchha naheen chalane key baad, mujhe lagata haye kii yahee uska ekmatra vikalp thaa	han mujhe laga uska character kafi nuanced tha lekin main sure nahi hun ki kya Nevada wpas jaana courageous tha. Play kharab jaane ke baad mujhe lagta hai uske paas sirf yahi option tha.
*about it	*isake baare mein	uske baare me
I suppose you have a point. I just think she was more independent of the average woman portrayed in films as she didn't cling on to Sebastian when things didn't work out for her.	mujhe lagata haye aapke paas koee baat haye. mujhe buss yahee lagata haye kii vaha filmon mein chitrit ausat mahila seey adhik swatantra thee kyonki jaba cheejen usake liye kaam naheen karati theen tou vaha sebastian seey chipki naheen rahati thee.	aapke pas point hai. Mujhe lagta hai wo films mein portray ki jaane wali average woman se zyada independent thu kyunki jab uska kaam sahi nahi bana to usne Sebastian ko cling nahi kia.
although I wish they reconciled before achieving their dreams	haalaanki main chaahata huun kii way apane sapnon koo hassil karane seey pahale sulah curr lein	lekin main chahta tha ki wo apne dreams achieve karne se pehle reconcile ho jaate
the bit at the end that showed what could have been actually made me sad	anta mein vaha ansh jisane dikhaaya kii vaastav mein mujhe dukhi karane vaalaa kyaa hoe sakata thaa	end me jo dikhaya tha, wah mujhe actually kafi sad kar sakta tha
I agree! It was very sad but also, as one reviewer puts it quite "bittersweet." I wasn't sure how to feel at the end.	main sahmat huun! yeh bahut dukhad thaa, lekin saath hii, jaisa kii ack sameekshak ise kaafee "kadwa-meethaa" bhee kahate hain. main nishchit naheen thaa kii anta mein kaisa mahsoos karuungaa.	I agree! ki wah bhi bahut sad tha, jaise ek reviewer ne kaha hai yah kafi "bittersweet" hai, mai sure nahi tha ki end mai kaisa feel karu.
It was nice discussing the film with you! Have a great day!	aapke saath film parr charcha karke achchha lagaa! aapka dinn achchha rahey!	tumhare sath film discuss karna nice tha! have a great day!
you guys have a pretty good ai system	aap logon key paas bahut achchha ai system haye	tum logo ke pass kafi badhiya ai system hai
i was actually completely fooled	main vaastav mein poori tarah seey moorkh thaa	mai actually complete fool ban gaya tha.
Hi there!	namaste!	hi
I haven't seen Bruce Almighty for some reason, but I do love Jim Carrey.	maine kissy kaaran seey broose olmitee naheen dekhi haye, lekin mujhe zim carrie pasand haye.	mein bruce almighty ko nahi dekha kuch reason ke liye, lekin muej jim carrey pasand hein
I haven't seen this one either, but I have heard that it is pretty funny.	maine ise dekhaa bhee naheen haye, lekin maine sunaa haye kii yeh bahut mazedaar haye.	mein bhi nahi dekha, lekin mein sunna hoon ki voh jyada funny hein
It's a pretty great idea. I'm sure it's not one of the greatest movies ever made, but he is really funny and so is Morgan Freeman.	yeh bahut badhiya vichaar haye. mujhe yakeen haye kii yeh abb taka bunny sabse mahaan filmon mein seey ack naheen haye, lekin vaha vaastav mein mazedaar haye aur morgan freeman bhee.	yeh tho badiya idea hein. muje nahi lagtha ki yeh unka greatest movies mein yek hein, kyon ki voh itna funny hein jaise morgan freeman ke tarah
Jennifer Aniston annoys me a little though, I gotta say	haalaanki, mujhe kahana hoga kii jennifer aniston mujhe thodaa pareshan karati haye	jeenifer aniston tho muje bahut annoys karti aur mein bolne hi vaali thi
I really do like Morgan Freeman, most of his movies are good. I think I might have to check this one out.	mujhe vaastav mein morgan freeman pasand haye, unaki adhikansh filmein achchi hain. mujhe lagata haye kii mujhe isaki jaanch karni parh sakati haye.	Main sahi mein Morgan Freeman ko pasand krta huin, uski bahut si movies achhi hain. Mujhe lagta hai ki mujhe isse bhi dekhna chahiye.
I look at Rotten Tomatoes a lot for movie ratings though, and 48% is pretty low. It has been out for a while, though.	haalaanki, main movie rating key liye rotten tomatose koo bahut dekhta huun, aur 48% kaafee cumm haye. haalaanki, yeh kuchh samay seey baahar haye.	Haanlanki main rotton tomatoes ko dekhta huin movie ratings check krne ke liye, aur 48% bahut kam hai. Haanlanki ye bahut dair se bahar hai.
I don't know why, but she has annoyed me through the years too. I can't quite put my finger on what it is, I just don't really like her very much.	mujhe naheen pataa kyon, lekin usane varshon seey mujhe bhee pareshan kiya haye. main thheek seey samajh naheen paa rhaa huun kii yeh kyaa haye, main vaastav mein usey bahut pasand naheen kartaa huun.	Mujhe nhi pta kyu, but usne mujhe saalon se pareshaan kiya hai. Main apni finger iss par nhi daal sakta ki yeh kya hai, sach mein main use bahut pasand nhi karta.
Yes, it has been out for quite some time. Maybe it's on Netflix.	haan, yeh kaafee samay seey baahar haye. shayed yeh netflix parr haye.	Han, kafi samay se bahar hai. Shayad ye Netflix pe bhi hai.
Do you like comedies like this, or are you more into dramas?	kyaa aapako iss tarah kii comedy pasand haye, yaa aap natakon mein adhik ruchi rakhate hain?	Kya tumhe aisi comedies pasand hai, ya tum tumhe dramas zyada pasand hai?
My favorite movie genre is science fiction, but I do like a good comedy, or a good drama. If it's a good movie, I really don't care what genre it is.	merrie pasandida film shally vigyaan kathaa haye, lekin mujhe achchi comedy yaa achchha naatak pasand haye. yadi yeh ack achchi film haye, tou mujhe vaastav mein isaki parwah naheen haye kii yeh kiss shally kii haye.	Meri favorite movie genre hai science fiction, but mujhe acchi comedy bhi acchi lagti hai, ya achha drama. Agar ye ek acchi movie hai, to main asal mein parwaah nhi krti ki ye kis genre ki hai.
That's true. The first review under the "critical response" section is pretty harsh. I'm not sure I really ever read or care about movie reviews, just the ratings % online	yeh sach haye. "mahatvapurna pratikriya" anubhaag key antargat pahali sameeksha kaafee kathor haye. mujhe yakeen naheen haye kii maine vaastav mein kabhi film sameekshaaen padhee hain yaa unaki parwah kartaa huun, buss ratings % online hain	Yeh sahi hai. "critical response" section ka pehla review bahut harsh hai. Main sure nhi huin main movie reviews padhne ya itni parwaah nhi krta, sirf online % ratings
When looking at movie reviews, I put more faith in actual regular people that go see the movie then I do official critics.	film sameekshaon koo dekhate samay, main aadhikarik alochakon kii tulana mein vaastavik niyamit logon parr adhik vishvaas kartaa huun joe film dekhane jaate hain.	Jab movie reviews dekhte, main faith official critics se zyada asal regular logo pe dekhta huin jo movie dekh kar aaye hain
True. Looking at the Key Scenes, I feel like the plot might have been a little paint-by-numbers and relying on Jim Carrey's personality too much, which is probably why it wasn't better recieved.	satya. mukhya drishyon koo dekhate hue, mujhe aisaa lagata haye kii kathaanak mein ankon key hisab seey thodaa-bahut rung-rogan kiya gayaa hoga aur zim carrie key vyaktitva parr bahut adhik nirbhar kiya gayaa hoga, shayed yahee kaaran haye kii ise behtar dhang seey praapt naheen kiya gayaa.	Sahi. Key Scenes ko dekhte hai, to mujhe lagta hai ki plot thoda paint-by-numbers aur Jim Carrey ki personality pe bahut zyada nirbhar hai, shayad issi wajah hai ki better nhi mila.
Yes, I can I didn't get that impression.	haan, main aisaa kaha sakata huun kii mujhe vaha aabhas naheen huaa.	Han, main kar skta huin mujhe achha impression nhi mila.
Sorry, this is supposed to say that I did get that impression.	kshama karein, iska tatparya yeh haye kii mujhe vaha aabhas huaa.	Sorry, ye kahana chahiye ki mujhe vah aabhas mila
I guess that's part of his appeal, he can take any kind of material and make it funny. Also Steve Carrell is a great, funny actor too and I can see him being a good villian.	mujhe lagata haye kii yeh unaki appeal kaa hissa haye, vaha kissy bhee tarah kii samagri leey sakate hain aur usey mazedaar banaa sakate hain. isake alawa steve carrell ack mahaan, majakia abhineta bhee hain aur main unhein ack achche khalnayak key roop mein dekh sakata huun.	mujhe lagata hai ki ye unki appeal ka hissa hai, vah kisi bhi tarah ka material leke aur use funny bana sakate he. sath hi Steve Carrell ek mahaan, funny actor bhi hain aur main unhe ek achchha villian bhi dekh sakta hu.
Yes, he is pretty good in everything he does.	haan, vaha joe kuchh bhee kartaa haye usamen bahut achchha haye.	Ha, vah apane har kaam mein bahut achchhe hai.
I haven't even heard of Metacritic or CinemaScore, to be honest. But it's weird that it's 46/100 on Metacritic and and A on CinemaScore. Those are pretty different scores.	imandari seey kahuun tou maine metacritic yaa cinemascore key baare mein bhee naheen sunaa haye. lekin yeh ajib haye kii metacritic parr yeh 46/100 haye aur cinemascore parr aii. way kaafee bhinn score hain.	Maine bhi Metacritic ya Cinemascore pramanik hone ke bare mein nahin suna hai. lekin yah ajib hai ki yah Metacritic par 46/100 hai aur Cinemascore pe A hai. yah bahut alag scores hain.
That's true, I'm not sure how they score these things.	yeh sach haye, mujhe yakeen naheen haye kii way inn cheejon koo kaise score karate hain.	yah sach hai, mujhe yakin nahin hai ki ve in chijo ko kaise score karte hai.
The part where he creates the email system to answer prayers and sets it to auto-reply "yes" is pretty funny and says a lot about religion.	vaha bhaag jahaan vaha prarthanaon kaa uttar dene key liye email system banaata haye aur usey swachaalit-uttar "haan" parr sett kartaa haye, kaafee majedar haye aur dharm key baare mein bahut kuchh kahata haye.	vah hissa jaha vah prarthanao ka javab dene ke liye email system banata hai aur ise auto-reply "haa" ke liye set karata hai vah bahut hi majedar hai aur dhharm ke bare me bahut kuchh kahata hai.
Sounds pretty funny, I will have to put it on my list.	bahut ajib lagata haye, mujhe ise apani soochi mein rakhna hoga.	Bahut majedar lagata hai, mujhe ise apane list mein rakhana hoga.
I do think maybe some of the scenes they describe with Jimmy Hoffa's body sound cheesy. I'm not sure!	mujhe lagata haye kii shayed jimi hoffa key shareer key saath way jinn drishyon kaa varnan karate hain unamen seey kuchh ghatiya lugg rahey hain. mujhe yakeen naheen haye!	Mujhe lagata hai ki sayad Jimmy Hoffa ki body sound ke saath kuchh drashyon ka varnan hai. main sure nahin hu!
I agree with that statement.	main usa kathan seey sahmat huun.	Main usse sahamat hu
I do think if I had the power of being God I'd use it for better things!	mujhe lagata haye kii aggar merey paas bhagwan honey kii shakti hoti tou main iska istemal behtar cheejon key liye kartaa!	mujhe lagata hai ki agar mere paas God hone ki shakti hoti to main isaka istemal behtar chijon ke liye karata
For sure!	pakka!	for sure
Interesting. I mean, the way the rest of the plot wraps up seems pretty standard.	dilchasp. meraa matlab haye, jiss tarah seey kathaanak kaa shesh bhaag samaapt hotaa haye vaha kaafee maanak lagata haye.	Interesting. I mean baaki jaise plot wrap up hote hai kaafi standard lagta hai
I agree, however, it might be worth a watch.	haalaanki, main sahmat huun kii yeh dekhane laayak hoe sakata haye.	I agree, but ek time watch worth ho sakti hai
The best part of the movie is probably the middle section where he's testing out all of his powers. Seems like the end might be disappointing based on this description.	film kaa sabse achchha hissa shayed madhya bhaag haye jahaan vaha apani saaree shaktiyon kaa pareekshan curr rhaa haye. aisaa lagata haye kii iss vivaran key aadhar parr anta nirashajanak hoe sakata haye.	Movie ka best part probably middle section hai jaha wo apni sari power test karta hai. Aisa lagta hai k end description k basis pe disappointing ho sakta hai
I'm not the hugest Jim Carrey fan, but I'll give it a try.	main zim carrie kaa sabse badaa prashansak naheen huun, lekin main ise aazamaaunga.	Main Jim Carrey ka bada fan to nahi hu , but main ek try karunga
Yeah I think he is so out-there that this is a perfect film for him.	haan, mujhe lagata haye kii vaha itna alag haye kii yeh usake liye ack aadarsh film haye.	Haan mujhe lagta hai k wo aise bahar hai k ye film uske liye perfect hai
Yeah, he always seems to play some crazy out-of-control guy.	haan, vaha hamesha kissy pagal, niyantran seey baahar vyakti kii bhoomika nibhaata nazar aataa haye.	Haan wo hamesha koi crazy out of control aadmi play karta hai
hi	namaste	hi
do you like frozen?	kyaa aapako frozen pasand haye?	kya tumhe frozen pasand hai ?
I love Frozen!	mujhe frozen bahut pasand haye!	mujhe frozen accha lagta hai?
I love frozen yogurt! but also this movie :)	mujhe jamaa huaa dahee bahut pasand haye! lekin yeh film bhee :)	mujhe frozen yogurt pasand hai! aur ye movie bhi :)
LOL!  I Cant wait for the second movie of Frozen to release	zor-zor seey hansana!  main frozen kii doosari film key release honey kaa intezar naheen curr sakata	LOL! Mein second movie ke release wait nahi kar sakti
what is your favorite character?	aapka pasandida paatr kaun saa haye?	tumhara favorite character kaunsa hai?
Anna because shes independent!	annaa kyonki vaha swatantra haye!	Anna kyunki woh independent hai !
yours?	tumhara?	yours?
I like Elsa	mujhe elsa pasand haye	Mein Elsa ko like karta hun
she reminds of my friend of the same name	vaha merey isi naam key dost kii yaad dilaati haye	Wo mujhe mere same naam ke ek friend ki yaad dilati hai
also the character designs are cool	charitra design bhee achche hain	Character designs bhi cool hain
thats cool! Anna reminds me of my girls - they are red-heads too	yeh achchha haye! enaa mujhe merrie ladkiyon kii yaad dilaati haye - way bhee laal baalon vaali hain	thats cool!Anna mujhe meri ladkiyon ki yaad dilati hai - wo bhi red-heads hain
do you like the songs?	kyaa aapako gaane pasand hain?	tumhe songs pasand aaye ?
Of course - who doesnt!  We still sing them around our house!	beshak - kaun naheen kartaa! humm abhee bhee unhein aapke ghar key aspas gaate hain!	Of course - who dosent! Hum abhi bhi unko ghar mein gaate hain!
that is awesome!	yeh bahut achchha haye!	Ye to awesome hai!
The first time we saw Frozen was on a Disney Cruise Ship	pahali baar hamane frozen koo disney cruze ship parr dekhaa thaa	Pehli baar humne Frozen dekha tha ek Disney Cruise Ship par.
what's your favorite?	aapka pasandida kyaa haye?	aapka favorite kon sa hein?
I love Let it Go but also In Summer - especially now since its so cold!  Whats your favorite	mujhe lait itt goo pasand haye, lekin garmiyon mein bhee - khaskar abb jaba seey bahut thhand haye!  aapka pasandida kyaa haye?	muje pasand hein agar voh summer mein huva tho, especially ab toh cold hein. aapka favorite kya hein?
i don't remember	mujhe yaad naheen	muje yaad nahi hein
do you have a favorite part of the movie	kyaa aapke paas film kaa koee pasandida hissa haye?	aapko is movie ka favorite part kya hein?
the snowman is a funny character	snoman ack ajib charitra haye	voh snowman, bahut funny character hein
he is hilarious.	vaha prafullit karane vaalaa haye.	voh toh hilarious hein
olaf?	olaf?	olaf?
yes	haan	haan
do you have a favorite scene?	kyaa aapka koee pasandida drishya haye?	aapka favorite scene kya hein?
I really like the scene with the Trolls.  The ending also gets me every time when Elsa saves Anna.	mujhe trolls vaalaa drishya vaastav mein pasand haye.  harr baar jaba elsa annaa koo bachaati haye tou anta bhee mujhe mill jaataa haye.	muje toh uska trolls bahut pasand hein. Ending toh muje bahut pasand hein, Jab Elsa Anna ko bachaya hein.
whats yours	aapka kyaa haye	aapaka kya hai
the ending is great	anta badhiya haye	ant mahaan hai
the scene with the trolls too.	trolls key saath bhee seane.	trols ke saath drshy bhee.
I hope the trolls are in the second movie more	mujhe ummeed haye kii doosari film mein troll jyada honge	mujhe ummeed hai ki trol doosaree philm mein adhik hain
haha maybe they will have their own spinoff movie	haaha shayed unaki apani spinoff film hogi	hah shaayad ve apanee khud kee spinoff philm hogee
that would be cute too	vaha bhee pyaara hoga	vah bhee pyaara hoga
nice chatting to you. Have a good day!	aapse baatchit karke achchha lagaa. aapka dinn shubh hoe!	aapase achchha chaiting aapaka din shubh ho!
you too	aap bhee	aap bhee
hi	namaste	hi
Hello	namaste	hello
how are you doing	aap kaise hain	kaise ho aap
Im doing great. Have you seen Toy Story before?	main badhiya huun. kyaa aapane pahale toy story dekhi haye?	Im doing great. kya aapne Toy Story pahle dekhi hai?
i did a long time ago	maine bahut samay pahale kiya thaa	Maine bahut pahle dekhi thi.
I love that movie	mujhe vaha film bahut pasand haye	I love that movie
yes it was a big part of my childhood	haan yeh merey bachpan kaa ack badaa hissa thaa	yes ye mere childhood ka bada part hai
is was stared Tom Hanks as woody	tomm hanks koo woody key roop mein dekhaa gayaa thaa	Tom Hanks ke woody se start hota hai
yes i like buzz alot	haan, mujhe buzz bahut pasand haye	yes mai buzz ko bahut like karti hu
who was your favorite	aapka pasandida kaun thaa	aapka favorite kaun tha
buzz light year	buzz lightear	buzz light year
yes i really did not care for the third one i never seen it	haan, mujhe vaastav mein teesare kii parwah naheen thee, maine usey kabhi naheen dekhaa	yes mai really care nahi karti third one ke baare me, maine wo kabhi dekhi nahi
the director of the movie was John Lasseter dont know what else he made	film key nirdeshak johnn lassetter they aur unhone naa jaane kyaa-kyaa banaaya	movie ka directir John Lasseter tha, mujhe nahi pata usne aur kaun si movie banai hai.
me either	main bhee	MUJE BHI
I never saw the third one either	maine teesara bhee kabhi naheen dekhaa	MEIN THIRD ONE THO NAHI DEKHA HON
yes disney has mostly lost me on their movies	haan, disney ney zyaadaatar mujhe apani filmon mein khoya haye	HAAN, DISNEY THO KAAFI ACHE MOVIE BANATHE HEIN
the first toy story came out in 1995.. wow that seems like such a long time ago	pahali khilauna kahani 1995 mein saamane aaee.. vaah, aisaa lagata haye jaise bahut samay pahale kii baat haye	FIRST TOY STORY THO 1995 MEIN AAYA.. KITNA LAMBHA TIME THA VOH
yeah  that's a while ago	haan, kuchh samay pahale kii baat haye	HAAN, KAAFI
when it came out the critics said it was a work of genius	jaba yeh saamane aayaa tou alochakon ney kahaa kii yeh pratibha kaa kaam haye	JAB CRITICS AAYA THO, SABHI USKA WORK KA GENIUS SAMJE
i think that we both agree on that?	mujhe lagata haye kii humm donon iss parr sahmat hain?	MUJE LAGTHA KI DONO AGREE KARENGE
definitly	nishchit roop seey	DEFINITLY
it got a 100 on rotten tomatoes that seems great	sadey hue tamataron parr ise 100 ank mille joe bahut achchha lagata haye	ROTTEN TOMATOES NE TOH 100 DIYA, JO ITNA GREAT HEIN
looking at the plot points made me remember some good sceens	kathaanak key binduon koo dekhane seey mujhe kuchh achche drishya yaad aaa gaye	LOOK, PLOT POINTS NE THO MUJE ACHE SCENES YAAD KIYA
yes it did the critics also said tom hanks voice of woody is one of the best animated features in history	haan, aisaa huaa, alochakon ney yeh bhee kahaa kii woody kii tomm hanks kii aavaaz itihas kii sarvshreshth animated visheshtaon mein seey ack haye	haan, yeh critics ka hi hey, also woody ka voice hanks ne diya jo unke best animated features mein yek hein unka history mein
yes	haan	haan
like when buzz was trying to impress all the other toys with his cool new modern features	jaise kii jaba buzz apani shandar naee aadhunik visheshtaon seey anya sabhi khilaunon koo prabhaavit karane kii koshish curr rhaa thaa	han jab buzz, un saare toys ko impress karne pe try kartha tha us cool new modern features se
yes that was great	haan vaha bahut achchha thaa	haan, badiya hein
was it this one when they go in that room with that baby toy	kyaa yeh vahee thaa jaba way usa bachche key khilaune key saath usa kamare mein jaate they	tho vo hi room tha kaha us baby toy hein
I cant remember I think so	mujhe yaad naheen aaa rhaa kii main aisaa sochata huun	muje itna yaad nahi hein, lekin muje bhi aise hi kuch lagtha hein
i get confuse with this one and two	main iss ack aur dou seey bhramit hoe jaataa huun	mein tho in yek aur do ko confuse ho gaya
I remeber when there were trying to get on the moving truck	mujhe yaad haye jaba loga chalate truck parr chadhane kii koshish curr rahey they	muje bas itna yaad hein ki voh us moving truck par jaane ko try kar rahe they
it was fun remembering this one	ise yaad karke majaa aayaa	itna fun remembering hey yar
you have a great day	aapka dinn mangalmay hoe	have a great day yar
bye	alvida	bye
well It was cool talking whit you have a good day	achchha, aapse baat karke achchha lagaa, aapka dinn shubh hoe	aapke ke saath baat karte hue accha laga, good day
bless	aashirvaad	bless
yes	haan	yes
hi	namaste	hi
hello!	namaste!	hello!
The movie that was picked, I'	joe film chuni gaee, main'	movie jo chuni gayi, 'I
I've never seen.	maine kabhi nahee dekhaa.	maine kabhi nahi dekhi
Hello, what's the name of the movie?	namaste, film kaa naam kyaa haye?	HELLO, MOVIE KA NAM KAY HAI?
Hi, it's the Imitation Game	namaste, yeh nakali khel haye	HI, WO the Imitation Game HAI
Does it seem interesting?	kyaa yeh dilchasp lagata haye?	kay wo interesting lag rahi  hai?
Definitely, it takes place during WWII and it's decrypting spy code messages	nishchit roop seey, yeh dwiteeya vishva yuddh key dauran hotaa haye aur yeh jasusi code sandeshon koo decrypt curr rhaa haye	jaroor, ye sab during WWII huva tha or it's decrypting spy code messages
Cool, is there a main lead actor or actress that's easily identifiable?	badhiya, kyaa koee mukhya abhineta yaa abhinetri haye jise aasaani seey pahachaana jaa sakey?	cool, kay us me main leaf actor or actress easily identifiable hai
Yes, it stars Benedict Cumberbatch and Keira Knightly, it's got a pretty good score on Rotten Tomatoes and CinemaScore.	haan, isamen benedict comberbatch aur keira nightly hain, ise rotten tomatose aur cinemascore parr kaafee achchha score milaa haye.	ha, iss me  Benedict Cumberbatch and Keira Knightly hai, is co accha score mila hai Tomatoes and CinemaScore pe
Good to know, what studio is it produced by?	yeh jaankar achchha lagaa kii yeh kiss studio dwara nirmit haye?	good to know, kis studio ne isse produce kiya hai?
I'm not sure about that but did you know there was an earlier movie about the same book?	main isake baare mein nishchit naheen huun lekin kyaa aap jaanate hain kii isi kitab parr pahale bhee koee film bunny thee?	Muze nahi pata uske bareme , per tum ko pata hai kay there was an earlier movie about the same book?
So  it's based on a book?	tou yeh ack kitab parr adharit haye?	to, ye kitap be based hai?
Yes, it's based on Alan Turing:  The Enigma and the earlier movie was called Breaking the Code, it was on BBC.	haan, yeh ellen turing: dha anigma parr adharit haye aur pichhali film kaa naam breaking dha code thaa, yeh bbc parr thee.	yes, ye based hai Alan Turing: The Enigma or pehele ki movie ka nam tha  Breaking the Code, wo BBC pe thi
Good to know, although I didn't ask; does it say who starred in the BBC version?	jaankar achchha lagaa, haalaanki maine naheen poochha; kyaa yeh bataata haye kii bbc sanskaran mein kisane abhinay kiya?	jaanakaar achchha laga, haalaanki mainne poochha nahin; kya yah kahana hai ki BBC sanskaran mein kisane abhinay kiya
No, but I've got info on a few of the key scenes if you're interested in knowing?	naheen, lekin yadi aap jaanane mein ruchi rakhate hain tou mujhe kuchh pramukh drishyon key baare mein jaankaari millie haye?	nahin, lekin mujhe kuchh pramukh drshyon kee jaanakaaree milee hai yadi aap jaanane mein ruchi rakhate hain?
Absolutely, are the scenes taken from the book, the BBC version, or the movie?	bilkul, kyaa yeye drishya kitab, bbc sanskaran yaa film seey liye gaye hain?	poorn roop se, pustak se lie gae drshy hain, BBC sanskaran, ya philm?
From the 2014 movie with Cumberbatch and Knightley.  The earliest scene has Turing in boarding school being bullied, and he makes a friend there that gets him interested in cryptography.	comberbatch aur nightly key saath 2014 kii film seey.  shuruati drishya mein turing koo boarding school mein dhamkaya jaa rhaa haye, aur vaha vahaan ack dost banaata haye joe usey cryptography mein ruchi detaa haye.	2014 kee philm se kambarabaich aur naitalee ke saath. shuruaatee drshy mein tyooring in bording skool ko badanaam kiya ja raha hai, aur vah vahaan ek dost banaata hai jo use kriptograaphee mein dilachaspee leta hai.
That's cool, so it's sort of a biographical movie?	yeh badhiya haye, tou yeh ack tarah kii jeevani parr adharit film haye?	yah achchha hai, to yah ek jeevanee philm kee tarah hai?
The next scene is when Britain declares war on Germany, Turing goes to work at a place called Bletchley Park that is trying to decode the Nazi's Enigma Machine.  Yes, it's a historical drama.	agala drishya taba hotaa haye jaba britten germany parr yuddh kii ghoshana kartaa haye, turing bailechale park naamak sthaan parr kaam karane jaataa haye joe naaji kii anigma machine koo decode karane kii koshish curr rhaa haye.  haan, yeh ack aitihaasik naatak haye.	agala drshy hai jab briten ne jarmanee par yuddh kee ghoshana kee, tyooring ek jagah par kaam karane jaata hai jise bailechale paark kaha jaata hai vah naajee kee pahelee masheen ko dikod karane kee koshish kar raha hai. haan, yah ek aitihaasik naatak hai.
Do you want to hear the plot?	kyaa aap kathaanak sunana chaahte hain?	kya aap kathaanak sunana chaahate hain?
